date,region,Total number of banking system institutions,institutions of the Bank of Russia,credit institutions,branches of credit organizations,additional offices,Number of bank institutions per 1 million inhabitants
01.07.2015,Воронежская область,723,3,1,24,326,310
01.07.2015,Еврейская автономная область,50,2,0,3,19,297
01.07.2015,Забайкальский край,256,6,0,4,146,235
01.07.2015,Ивановская область,277,2,6,10,171,267
01.07.2015,Иркутская область,587,11,6,15,269,243
01.07.2015,Кабардино-Балкарская Республика,154,3,5,8,80,179
01.07.2015,Калининградская область,277,2,1,23,121,286
01.07.2015,Калужская область,276,2,4,8,126,273
01.07.2015,Камчатский край,124,9,3,6,62,391
01.07.2015,Карачаево-Черкесская Республика,53,1,4,5,31,113
01.07.2015,Кемеровская область,587,4,6,10,274,215
01.07.2015,Кировская область,386,3,3,7,205,296
01.07.2015,Костромская область,188,3,6,5,104,287
01.07.2015,Краснодарский край,1 663,15,15,55,1 110,305
01.07.2015,Красноярский край,811,10,5,29,430,284
01.07.2015,Курганская область,323,2,2,6,82,371
01.07.2015,Курская область,314,3,1,6,128,281
01.07.2015,Ленинградская область,432,4,5,11,44,243
01.07.2015,Липецкая область,341,4,1,7,152,294
01.07.2015,Магаданская область,64,4,0,5,24,432
01.07.2015,г. Москва и Московская область,6 405,13,433,164,4 259,330
01.07.2015,Мурманская область,235,3,3,12,120,307
01.07.2015,Нижегородская область,1 072,9,10,65,559,328
01.07.2015,Новгородская область,194,2,2,8,115,314
01.07.2015,Новосибирская область,733,4,6,55,450,267
01.07.2015,Омская область,516,3,5,20,280,261
01.07.2015,Оренбургская область,716,6,7,11,267,358
01.07.2015,Орловская область,221,2,1,11,104,289
01.07.2015,Пензенская область,422,2,1,10,156,311
01.07.2015,Пермский край,841,7,4,32,537,319
01.07.2015,Приморский край,529,6,6,18,290,274
01.07.2015,Псковская область,183,2,2,7,105,281
01.07.2015,Республика Адыгея (Адыгея),111,2,4,5,73,247
01.07.2015,Республика Алтай,56,2,1,5,35,262
01.07.2015,Республика Башкортостан,1 354,5,7,28,714,333
01.07.2015,Республика Бурятия,266,5,1,8,146,272
01.07.2015,Республика Дагестан,166,4,10,16,106,56
01.07.2015,Республика Ингушетия,21,2,0,3,13,45
01.07.2015,Республика Калмыкия,43,1,1,3,25,153
01.07.2015,Республика Карелия,187,5,1,10,100,296
01.07.2015,Республика Коми,293,9,1,10,166,339
01.07.2015,Республика Крым**,444,1,2,13,127,234
01.07.2015,Республика Марий Эл,185,2,2,11,75,269
01.07.2015,Республика Мордовия,275,1,3,4,135,340
01.07.2015,Республика Саха (Якутия),343,11,4,9,177,358
01.07.2015,Республика Северная Осетия-Алания,94,3,2,10,45,133
01.07.2015,Республика Татарстан (Татарстан),1 476,10,22,48,707,383
01.07.2015,Республика Тыва,55,2,1,3,39,175
01.07.2015,Республика Хакасия,152,1,2,2,66,284
01.07.2015,Ростовская область,1 220,9,14,83,870,288
01.07.2015,Рязанская область,279,2,4,9,122,246
01.07.2015,Самарская область,900,5,15,43,437,280
01.07.2015,г. Санкт-Петербург,1 510,3,38,130,1 024,291
01.07.2015,Саратовская область,668,7,9,20,270,268
01.07.2015,Сахалинская область,147,6,4,7,67,301
01.07.2015,Свердловская область,1 194,9,13,59,804,276
01.07.2015,г. Севастополь**,136,1,1,5,9,341
01.07.2015,Смоленская область,212,4,2,7,87,220
01.07.2015,Ставропольский край,620,6,5,42,427,221
01.07.2015,Тамбовская область,314,2,1,3,124,296
01.07.2015,Тверская область,304,7,4,10,127,231
01.07.2015,Томская область,254,4,2,16,133,236
01.07.2015,Тульская область,359,2,4,12,157,237
01.07.2015,Тюменская область,1 168,14,10,45,670,326
01.07.2015,Удмуртская Республика,391,3,2,7,231,258
01.07.2015,Ульяновская область,319,3,2,9,154,253
01.07.2015,Хабаровский край,358,4,2,27,210,268
01.07.2015,Челябинская область,928,7,7,64,457,265
01.07.2015,Чеченская Республика,50,1,0,4,33,36
01.07.2015,Чувашская Республика - Чувашия,394,3,4,5,131,318
01.07.2015,Чукотский автономный округ,27,6,0,1,0,535
01.07.2015,Ярославская область,388,4,6,21,218,305
01.04.2015,Алтайский край,891,4,6,13,263,371
01.04.2015,Амурская область,238,3,2,5,113,291
01.04.2015,Архангельская область,322,5,0,17,182,268
01.04.2015,Астраханская область,252,1,5,12,108,249
01.04.2015,Белгородская область,493,3,3,10,149,320
01.04.2015,Брянская область,258,1,0,7,93,206
01.04.2015,Владимирская область,437,3,2,12,180,307
01.04.2015,Волгоградская область,672,8,4,31,267,260
01.04.2015,Вологодская область,390,3,9,11,225,326
01.04.2015,Воронежская область,739,3,1,28,320,317
01.04.2015,Еврейская автономная область,51,2,0,4,20,295
01.04.2015,Забайкальский край,264,6,0,4,145,241
01.04.2015,Ивановская область,284,2,6,11,175,271
01.04.2015,Иркутская область,610,11,6,18,272,252
01.04.2015,Кабардино-Балкарская Республика,155,3,5,8,81,180
01.04.2015,Калининградская область,287,2,1,23,122,301
01.04.2015,Калужская область,293,2,4,9,128,291
01.04.2015,Камчатский край,132,9,3,7,66,412
01.04.2015,Карачаево-Черкесская Республика,53,1,4,5,31,112
01.04.2015,Кемеровская область,613,4,6,12,277,224
01.04.2015,Кировская область,399,3,3,7,205,302
01.04.2015,Костромская область,196,3,5,5,108,297
01.04.2015,Краснодарский край,1 706,15,15,58,1 124,320
01.04.2015,Красноярский край,866,10,5,30,458,304
01.04.2015,Курганская область,333,2,2,6,83,376
01.04.2015,Курская область,333,3,1,7,129,298
01.04.2015,Ленинградская область,432,4,5,12,45,247
01.04.2015,Липецкая область,355,4,1,9,159,305
01.04.2015,Магаданская область,67,4,0,5,24,440
01.04.2015,г. Москва и Московская область,6 601,13,456,166,4 418,347
01.04.2015,Мурманская область,239,3,3,12,121,306
01.04.2015,Нижегородская область,1 098,9,10,68,565,334
01.04.2015,Новгородская область,203,2,2,8,116,324
01.04.2015,Новосибирская область,769,4,6,57,464,284
01.04.2015,Омская область,548,3,5,20,294,278
01.04.2015,Оренбургская область,748,6,7,11,275,371
01.04.2015,Орловская область,225,2,1,12,102,290
01.04.2015,Пензенская область,441,2,1,11,155,322
01.04.2015,Пермский край,884,7,4,33,548,336
01.04.2015,Приморский край,554,6,6,18,299,285
01.04.2015,Псковская область,189,2,2,7,105,286
01.04.2015,Республика Адыгея (Адыгея),112,2,4,5,73,252
01.04.2015,Республика Алтай,57,2,1,6,33,271
01.04.2015,Республика Башкортостан,1 397,5,7,29,734,344
01.04.2015,Республика Бурятия,288,5,1,8,145,296
01.04.2015,Республика Дагестан,165,4,10,23,100,56
01.04.2015,Республика Ингушетия,21,2,0,3,13,47
01.04.2015,Республика Калмыкия,46,1,1,3,27,162
01.04.2015,Республика Карелия,197,5,1,11,100,309
01.04.2015,Республика Коми,304,9,1,10,167,345
01.04.2015,Республика Крым**,420,1,1,13,122,223
01.04.2015,Республика Марий Эл,192,2,2,11,68,278
01.04.2015,Республика Мордовия,278,1,3,4,135,340
01.04.2015,Республика Саха (Якутия),353,11,4,13,177,369
01.04.2015,Республика Северная Осетия-Алания,93,3,2,9,45,132
01.04.2015,Республика Татарстан (Татарстан),1 530,10,22,49,724,400
01.04.2015,Республика Тыва,56,2,1,3,38,180
01.04.2015,Республика Хакасия,160,2,2,2,65,300
01.04.2015,Ростовская область,1 244,9,14,85,894,292
01.04.2015,Рязанская область,288,2,4,9,122,252
01.04.2015,Самарская область,966,5,15,44,458,301
01.04.2015,г. Санкт-Петербург,1 556,3,40,137,1 051,309
01.04.2015,Саратовская область,693,7,9,22,271,277
01.04.2015,Сахалинская область,180,6,5,7,67,365
01.04.2015,Свердловская область,1 247,9,14,62,836,289
01.04.2015,г. Севастополь**,133,1,1,5,10,344
01.04.2015,Смоленская область,220,4,2,8,87,226
01.04.2015,Ставропольский край,632,6,5,43,431,226
01.04.2015,Тамбовская область,336,2,1,3,128,312
01.04.2015,Тверская область,309,7,4,10,127,232
01.04.2015,Томская область,265,4,2,17,138,249
01.04.2015,Тульская область,365,2,4,12,157,238
01.04.2015,Тюменская область,1 250,14,11,49,693,356
01.04.2015,Удмуртская Республика,418,3,2,7,238,275
01.04.2015,Ульяновская область,336,3,2,10,157,264
01.04.2015,Хабаровский край,372,4,2,28,221,277
01.04.2015,Челябинская область,978,7,7,68,462,281
01.04.2015,Чеченская Республика,50,1,0,4,33,38
01.04.2015,Чувашская Республика - Чувашия,407,3,4,6,134,327
01.04.2015,Чукотский автономный округ,28,6,0,1,0,551
01.04.2015,Ярославская область,404,4,6,24,229,318
01.01.2015,Алтайский край,912,4,7,13,264,380
01.01.2015,Амурская область,242,3,2,5,113,296
01.01.2015,Архангельская область,331,5,0,17,185,275
01.01.2015,Астраханская область,264,2,5,12,109,260
01.01.2015,Белгородская область,515,3,3,10,154,334
01.01.2015,Брянская область,275,1,0,7,100,219
01.01.2015,Владимирская область,445,3,3,12,187,313
01.01.2015,Волгоградская область,700,8,4,32,272,271
01.01.2015,Вологодская область,411,3,9,11,234,344
01.01.2015,Воронежская область,771,3,1,28,328,331
01.01.2015,Еврейская автономная область,52,2,0,4,22,301
01.01.2015,Забайкальский край,274,6,0,5,159,250
01.01.2015,Ивановская область,295,2,6,11,178,281
01.01.2015,Иркутская область,659,11,7,19,298,272
01.01.2015,Кабардино-Балкарская Республика,158,3,5,11,80,184
01.01.2015,Калининградская область,290,2,1,23,123,304
01.01.2015,Калужская область,297,2,4,9,131,295
01.01.2015,Камчатский край,135,9,3,7,69,421
01.01.2015,Карачаево-Черкесская Республика,53,1,4,5,31,112
01.01.2015,Кемеровская область,649,4,6,11,284,237
01.01.2015,Кировская область,417,3,3,7,207,316
01.01.2015,Костромская область,202,3,5,5,110,307
01.01.2015,Краснодарский край,1 794,15,15,59,1 131,337
01.01.2015,Красноярский край,908,10,5,30,479,319
01.01.2015,Курганская область,348,2,2,7,85,393
01.01.2015,Курская область,349,3,1,7,128,312
01.01.2015,Ленинградская область,444,4,5,12,45,254
01.01.2015,Липецкая область,360,4,1,9,153,310
01.01.2015,Магаданская область,70,4,0,5,26,460
01.01.2015,г. Москва и Московская область,6 646,13,459,170,4 463,349
01.01.2015,Мурманская область,243,3,3,12,121,311
01.01.2015,Нижегородская область,1 140,9,10,71,581,347
01.01.2015,Новгородская область,206,2,2,9,120,329
01.01.2015,Новосибирская область,795,4,6,58,478,293
01.01.2015,Омская область,575,3,5,20,303,291
01.01.2015,Оренбургская область,771,6,7,11,278,382
01.01.2015,Орловская область,232,2,1,12,103,299
01.01.2015,Пензенская область,481,2,1,11,159,351
01.01.2015,Пермский край,907,7,4,33,558,344
01.01.2015,Приморский край,565,6,6,18,299,290
01.01.2015,Псковская область,190,2,2,7,105,287
01.01.2015,Республика Адыгея (Адыгея),119,2,4,5,75,268
01.01.2015,Республика Алтай,58,2,2,6,33,276
01.01.2015,Республика Башкортостан,1 451,5,7,31,770,357
01.01.2015,Республика Бурятия,303,5,1,8,149,312
01.01.2015,Республика Дагестан,211,4,12,25,133,72
01.01.2015,Республика Ингушетия,23,2,0,3,15,52
01.01.2015,Республика Калмыкия,51,1,1,3,32,180
01.01.2015,Республика Карелия,215,5,1,11,111,338
01.01.2015,Республика Коми,308,9,1,11,172,350
01.01.2015,Республика Крым**,403,1,1,13,116,213
01.01.2015,Республика Марий Эл,194,2,2,12,67,281
01.01.2015,Республика Мордовия,288,1,4,4,142,352
01.01.2015,Республика Саха (Якутия),362,11,4,13,178,379
01.01.2015,Республика Северная Осетия-Алания,91,3,2,9,43,129
01.01.2015,Республика Татарстан (Татарстан),1 589,10,22,49,742,416
01.01.2015,Республика Тыва,60,2,1,3,40,193
01.01.2015,Республика Хакасия,169,2,2,2,66,317
01.01.2015,Ростовская область,1 304,11,14,85,940,306
01.01.2015,Рязанская область,299,2,4,10,127,261
01.01.2015,Самарская область,996,5,15,47,466,310
01.01.2015,г. Санкт-Петербург,1 597,3,40,138,1 083,318
01.01.2015,Саратовская область,730,7,9,22,281,292
01.01.2015,Сахалинская область,184,6,5,7,67,373
01.01.2015,Свердловская область,1 325,9,14,65,899,307
01.01.2015,г. Севастополь**,129,1,1,5,8,322
01.01.2015,Смоленская область,240,4,2,8,96,246
01.01.2015,Ставропольский край,663,6,5,42,444,238
01.01.2015,Тамбовская область,348,2,1,3,125,324
01.01.2015,Тверская область,320,7,4,11,129,240
01.01.2015,Томская область,287,4,2,17,141,270
01.01.2015,Тульская область,379,2,4,12,164,247
01.01.2015,Тюменская область,1 293,14,12,53,695,368
01.01.2015,Удмуртская Республика,432,3,2,8,244,285
01.01.2015,Ульяновская область,345,3,2,10,157,271
01.01.2015,Хабаровский край,386,4,2,29,226,288
01.01.2015,Челябинская область,1 065,7,7,68,476,306
01.01.2015,Чеченская Республика,56,1,0,4,33,42
01.01.2015,Чувашская Республика - Чувашия,415,3,4,6,133,334
01.01.2015,Чукотский автономный округ,28,6,0,1,0,551
01.01.2015,Ярославская область,424,4,5,24,235,333
01.10.2016,Алтайский край,720,3,5,7,246,302
01.10.2016,Амурская область,225,2,2,6,110,278
01.10.2016,Архангельская область,286,4,0,10,162,242
01.10.2016,Астраханская область,226,1,3,5,134,221
01.10.2016,Белгородская область,439,2,3,6,141,284
01.10.2016,Брянская область,212,1,0,4,96,172
01.10.2016,Владимирская область,369,1,2,8,171,263
01.10.2016,Волгоградская область,585,5,4,18,222,229
01.10.2016,Вологодская область,336,3,6,6,206,282
01.10.2016,Воронежская область,666,2,1,16,312,286
01.10.2016,Еврейская автономная область,48,1,0,2,18,285
01.10.2016,Забайкальский край,242,4,0,3,141,223
01.10.2016,Ивановская область,240,1,5,6,161,231
01.10.2016,Иркутская область,578,11,6,13,265,239
01.10.2016,Кабардино-Балкарская Республика,122,2,4,4,61,142
01.10.2016,Калининградская область,224,2,1,10,99,231
01.10.2016,Калужская область,239,2,3,3,130,237
01.10.2016,Камчатский край,122,9,3,6,61,384
01.10.2016,Карачаево-Черкесская Республика,45,1,4,4,24,96
01.10.2016,Кемеровская область,533,2,6,9,252,196
01.10.2016,Кировская область,376,1,3,6,203,288
01.10.2016,Костромская область,164,2,7,4,100,251
01.10.2016,Краснодарский край,1 530,12,13,42,1 033,281
01.10.2016,Красноярский край,702,9,4,21,374,246
01.10.2016,Курганская область,305,1,2,4,82,351
01.10.2016,Курская область,270,1,1,4,122,242
01.10.2016,Ленинградская область,363,4,1,6,7,204
01.10.2016,Липецкая область,309,4,1,5,150,267
01.10.2016,Магаданская область,60,3,0,3,24,405
01.10.2016,г. Москва и Московская область,5 437,9,337,134,3 640,280
01.10.2016,Мурманская область,224,3,3,7,111,292
01.10.2016,Нижегородская область,923,6,8,51,480,282
01.10.2016,Новгородская область,173,2,2,5,110,280
01.10.2016,Новосибирская область,696,3,6,45,418,253
01.10.2016,Омская область,483,2,5,15,289,244
01.10.2016,Оренбургская область,620,5,6,10,261,310
01.10.2016,Орловская область,188,1,0,7,87,246
01.10.2016,Пензенская область,359,1,1,8,151,265
01.10.2016,Пермский край,801,4,4,20,527,304
01.10.2016,Приморский край,499,4,6,14,265,258
01.10.2016,Псковская область,171,2,2,6,96,263
01.10.2016,Республика Адыгея (Адыгея),108,1,4,3,71,240
01.10.2016,Республика Алтай,47,2,1,3,30,220
01.10.2016,Республика Башкортостан,1 086,4,5,17,611,267
01.10.2016,Республика Бурятия,207,4,0,4,109,212
01.10.2016,Республика Дагестан,147,2,6,11,98,49
01.10.2016,Республика Ингушетия,15,2,0,3,8,32
01.10.2016,Республика Калмыкия,38,1,0,1,20,135
01.10.2016,Республика Карелия,175,3,2,6,96,277
01.10.2016,Республика Коми,269,8,1,8,161,311
01.10.2016,Республика Крым**,408,1,3,6,108,215
01.10.2016,Республика Марий Эл,158,1,2,7,76,230
01.10.2016,Республика Мордовия,248,1,3,3,132,307
01.10.2016,Республика Саха (Якутия),321,7,2,7,173,335
01.10.2016,Республика Северная Осетия-Алания,74,2,1,7,37,105
01.10.2016,Республика Татарстан (Татарстан),1 322,9,21,32,653,343
01.10.2016,Республика Тыва,55,1,1,3,39,175
01.10.2016,Республика Хакасия,141,1,2,2,66,263
01.10.2016,Ростовская область,1 091,7,11,57,807,257
01.10.2016,Рязанская область,243,1,3,6,151,214
01.10.2016,Самарская область,757,5,11,32,400,236
01.10.2016,г. Санкт-Петербург,1 359,3,34,110,929,262
01.10.2016,Саратовская область,606,6,8,14,230,243
01.10.2016,Сахалинская область,145,4,3,5,68,297
01.10.2016,Свердловская область,1 134,6,13,49,775,262
01.10.2016,г. Севастополь**,139,1,2,2,5,348
01.10.2016,Смоленская область,173,2,0,4,74,179
01.10.2016,Ставропольский край,580,5,3,25,444,207
01.10.2016,Тамбовская область,286,1,1,3,121,269
01.10.2016,Тверская область,238,2,4,9,115,181
01.10.2016,Томская область,228,4,1,12,117,212
01.10.2016,Тульская область,322,1,2,9,166,213
01.10.2016,Тюменская область,1 049,12,7,31,642,293
01.10.2016,Удмуртская Республика,379,1,3,4,234,250
01.10.2016,Ульяновская область,277,2,1,8,191,219
01.10.2016,Хабаровский край,331,3,2,24,203,247
01.10.2016,Челябинская область,866,6,7,54,417,248
01.10.2016,Чеченская Республика,52,1,0,5,34,38
01.10.2016,Чувашская Республика - Чувашия,339,2,3,4,116,274
01.10.2016,Чукотский автономный округ,28,6,0,1,0,554
01.10.2016,Ярославская область,327,2,6,13,178,257
01.07.2016,Алтайский край,732,3,5,7,251,307
01.07.2016,Амурская область,227,2,2,5,110,280
01.07.2016,Архангельская область,286,4,0,10,162,242
01.07.2016,Астраханская область,234,1,3,6,144,229
01.07.2016,Белгородская область,441,2,3,6,141,285
01.07.2016,Брянская область,218,1,0,4,82,177
01.07.2016,Владимирская область,379,1,2,8,173,270
01.07.2016,Волгоградская область,598,5,4,20,240,234
01.07.2016,Вологодская область,356,3,7,6,215,299
01.07.2016,Воронежская область,670,2,1,17,313,287
01.07.2016,Еврейская автономная область,49,1,0,2,18,291
01.07.2016,Забайкальский край,248,4,0,3,144,228
01.07.2016,Ивановская область,254,1,5,6,168,245
01.07.2016,Иркутская область,581,11,6,13,270,241
01.07.2016,Кабардино-Балкарская Республика,126,2,4,4,62,146
01.07.2016,Калининградская область,231,2,1,12,105,238
01.07.2016,Калужская область,252,2,3,3,126,249
01.07.2016,Камчатский край,124,9,3,6,62,391
01.07.2016,Карачаево-Черкесская Республика,47,1,4,4,26,100
01.07.2016,Кемеровская область,538,2,6,9,257,197
01.07.2016,Кировская область,373,1,3,7,202,286
01.07.2016,Костромская область,177,2,6,4,101,270
01.07.2016,Краснодарский край,1 565,12,13,44,1 059,287
01.07.2016,Красноярский край,718,9,4,22,388,251
01.07.2016,Курганская область,306,1,2,4,83,352
01.07.2016,Курская область,277,1,1,5,122,248
01.07.2016,Ленинградская область,384,4,3,8,11,216
01.07.2016,Липецкая область,313,4,1,5,150,270
01.07.2016,Магаданская область,61,3,0,3,24,412
01.07.2016,г. Москва и Московская область,5 561,9,355,141,3 729,286
01.07.2016,Мурманская область,228,3,3,9,115,298
01.07.2016,Нижегородская область,943,7,8,53,493,288
01.07.2016,Новгородская область,175,2,2,5,111,283
01.07.2016,Новосибирская область,698,3,6,46,421,254
01.07.2016,Омская область,490,2,5,16,293,248
01.07.2016,Оренбургская область,628,5,6,11,262,314
01.07.2016,Орловская область,187,1,0,8,100,244
01.07.2016,Пензенская область,374,1,1,8,159,276
01.07.2016,Пермский край,820,4,4,24,537,311
01.07.2016,Приморский край,510,4,6,15,272,264
01.07.2016,Псковская область,174,2,2,6,97,267
01.07.2016,Республика Адыгея (Адыгея),111,1,4,3,73,247
01.07.2016,Республика Алтай,49,2,1,3,32,229
01.07.2016,Республика Башкортостан,1 111,4,5,19,626,273
01.07.2016,Республика Бурятия,250,4,1,5,134,255
01.07.2016,Республика Дагестан,158,2,8,12,105,53
01.07.2016,Республика Ингушетия,18,2,0,3,11,39
01.07.2016,Республика Калмыкия,40,1,0,1,20,143
01.07.2016,Республика Карелия,175,3,2,7,97,277
01.07.2016,Республика Коми,273,8,1,10,163,316
01.07.2016,Республика Крым**,412,1,3,7,105,217
01.07.2016,Республика Марий Эл,163,1,2,8,77,237
01.07.2016,Республика Мордовия,251,1,3,3,132,310
01.07.2016,Республика Саха (Якутия),324,7,2,8,173,339
01.07.2016,Республика Северная Осетия-Алания,77,2,1,7,39,109
01.07.2016,Республика Татарстан (Татарстан),1 337,9,22,32,666,347
01.07.2016,Республика Тыва,55,1,1,3,39,175
01.07.2016,Республика Хакасия,143,1,2,2,66,267
01.07.2016,Ростовская область,1 106,7,11,61,816,261
01.07.2016,Рязанская область,253,1,4,6,126,223
01.07.2016,Самарская область,782,5,12,33,409,243
01.07.2016,г. Санкт-Петербург,1 403,3,36,115,940,270
01.07.2016,Саратовская область,616,6,9,15,255,247
01.07.2016,Сахалинская область,146,4,3,8,68,299
01.07.2016,Свердловская область,1 167,6,13,50,801,270
01.07.2016,г. Севастополь**,144,1,2,3,4,361
01.07.2016,Смоленская область,180,2,0,4,74,187
01.07.2016,Ставропольский край,611,5,4,28,469,218
01.07.2016,Тамбовская область,289,1,1,3,121,272
01.07.2016,Тверская область,249,2,4,9,107,189
01.07.2016,Томская область,233,4,1,13,118,217
01.07.2016,Тульская область,335,1,2,9,134,221
01.07.2016,Тюменская область,1 090,12,9,31,654,304
01.07.2016,Удмуртская Республика,383,1,2,4,235,252
01.07.2016,Ульяновская область,289,2,2,9,189,229
01.07.2016,Хабаровский край,341,3,2,24,210,255
01.07.2016,Челябинская область,893,6,7,55,444,255
01.07.2016,Чеченская Республика,51,1,0,4,34,37
01.07.2016,Чувашская Республика - Чувашия,346,2,3,4,121,279
01.07.2016,Чукотский автономный округ,28,6,0,1,0,554
01.07.2016,Ярославская область,366,2,5,15,212,288
01.04.2016,Алтайский край,732,3,5,7,253,307
01.04.2016,Амурская область,228,2,2,5,112,282
01.04.2016,Архангельская область,298,4,0,13,184,252
01.04.2016,Астраханская область,235,1,3,7,144,230
01.04.2016,Белгородская область,452,2,3,7,146,292
01.04.2016,Брянская область,228,1,0,5,85,185
01.04.2016,Владимирская область,391,1,2,9,179,278
01.04.2016,Волгоградская область,603,5,4,22,248,236
01.04.2016,Вологодская область,362,3,8,6,220,304
01.04.2016,Воронежская область,682,2,1,20,314,293
01.04.2016,Еврейская автономная область,49,1,0,2,18,291
01.04.2016,Забайкальский край,250,4,0,3,144,230
01.04.2016,Ивановская область,255,1,5,6,168,246
01.04.2016,Иркутская область,584,11,6,13,272,242
01.04.2016,Кабардино-Балкарская Республика,136,2,4,5,65,158
01.04.2016,Калининградская область,238,2,1,15,108,246
01.04.2016,Калужская область,250,2,3,4,119,247
01.04.2016,Камчатский край,125,9,3,7,62,394
01.04.2016,Карачаево-Черкесская Республика,47,1,4,4,26,100
01.04.2016,Кемеровская область,559,2,6,10,271,205
01.04.2016,Кировская область,375,1,3,7,203,288
01.04.2016,Костромская область,183,2,6,5,104,280
01.04.2016,Краснодарский край,1 601,12,13,45,1 077,294
01.04.2016,Красноярский край,744,9,5,23,419,260
01.04.2016,Курганская область,306,1,2,4,83,352
01.04.2016,Курская область,289,1,1,5,124,259
01.04.2016,Ленинградская область,412,4,4,8,33,232
01.04.2016,Липецкая область,317,4,1,6,150,274
01.04.2016,Магаданская область,61,3,0,3,24,412
01.04.2016,г. Москва и Московская область,5 735,9,374,147,3 833,295
01.04.2016,Мурманская область,231,3,3,11,115,301
01.04.2016,Нижегородская область,954,7,8,54,506,292
01.04.2016,Новгородская область,189,2,2,6,114,305
01.04.2016,Новосибирская область,710,3,6,50,432,258
01.04.2016,Омская область,493,2,5,17,300,249
01.04.2016,Оренбургская область,634,5,6,11,264,317
01.04.2016,Орловская область,191,1,0,9,100,250
01.04.2016,Пензенская область,378,1,1,8,160,279
01.04.2016,Пермский край,830,4,4,26,550,315
01.04.2016,Приморский край,523,4,6,16,282,271
01.04.2016,Псковская область,174,2,2,6,97,267
01.04.2016,Республика Адыгея (Адыгея),112,1,4,4,75,249
01.04.2016,Республика Алтай,52,2,1,4,32,243
01.04.2016,Республика Башкортостан,1 187,4,5,19,694,292
01.04.2016,Республика Бурятия,257,4,1,5,138,263
01.04.2016,Республика Дагестан,159,2,8,14,104,53
01.04.2016,Республика Ингушетия,18,2,0,3,11,39
01.04.2016,Республика Калмыкия,39,1,0,1,20,139
01.04.2016,Республика Карелия,179,3,1,9,98,283
01.04.2016,Республика Коми,279,8,1,10,164,323
01.04.2016,Республика Крым**,430,1,3,8,116,227
01.04.2016,Республика Марий Эл,166,1,2,8,77,241
01.04.2016,Республика Мордовия,260,1,3,4,133,321
01.04.2016,Республика Саха (Якутия),327,7,2,9,174,342
01.04.2016,Республика Северная Осетия-Алания,78,2,1,8,41,111
01.04.2016,Республика Татарстан (Татарстан),1 398,9,22,35,693,363
01.04.2016,Республика Тыва,55,1,1,3,39,175
01.04.2016,Республика Хакасия,147,1,2,2,67,274
01.04.2016,Ростовская область,1 150,7,12,68,843,271
01.04.2016,Рязанская область,259,1,4,6,128,228
01.04.2016,Самарская область,825,5,14,34,437,257
01.04.2016,г. Санкт-Петербург,1 412,2,36,117,950,272
01.04.2016,Саратовская область,633,6,9,16,268,254
01.04.2016,Сахалинская область,145,4,3,7,68,297
01.04.2016,Свердловская область,1 178,6,13,52,813,272
01.04.2016,г. Севастополь**,146,1,2,4,11,366
01.04.2016,Смоленская область,181,2,1,4,82,188
01.04.2016,Ставропольский край,616,5,4,29,446,220
01.04.2016,Тамбовская область,289,1,1,3,121,272
01.04.2016,Тверская область,253,2,4,9,113,192
01.04.2016,Томская область,241,4,2,14,130,224
01.04.2016,Тульская область,340,1,2,11,150,225
01.04.2016,Тюменская область,1 110,12,10,33,668,310
01.04.2016,Удмуртская Республика,386,1,2,4,237,254
01.04.2016,Ульяновская область,292,2,2,9,188,231
01.04.2016,Хабаровский край,343,3,2,25,209,256
01.04.2016,Челябинская область,900,6,7,56,455,257
01.04.2016,Чеченская Республика,49,1,0,4,32,36
01.04.2016,Чувашская Республика - Чувашия,363,2,3,4,133,293
01.04.2016,Чукотский автономный округ,28,6,0,1,0,554
01.04.2016,Ярославская область,369,2,5,17,220,290
01.01.2016,Алтайский край,744,3,5,7,255,312
01.01.2016,Амурская область,220,2,2,5,112,272
01.01.2016,Архангельская область,302,4,0,14,186,255
01.01.2016,Астраханская область,239,1,3,9,144,234
01.01.2016,Белгородская область,450,2,3,7,146,291
01.01.2016,Брянская область,235,1,0,5,86,191
01.01.2016,Владимирская область,401,1,2,9,181,285
01.01.2016,Волгоградская область,620,5,4,23,256,242
01.01.2016,Вологодская область,361,3,8,6,219,303
01.01.2016,Воронежская область,684,2,1,22,316,293
01.01.2016,Еврейская автономная область,49,1,0,3,19,291
01.01.2016,Забайкальский край,251,4,0,4,145,231
01.01.2016,Ивановская область,259,1,6,8,168,250
01.01.2016,Иркутская область,590,11,6,13,275,244
01.01.2016,Кабардино-Балкарская Республика,139,2,4,6,66,161
01.01.2016,Калининградская область,250,2,1,18,114,258
01.01.2016,Калужская область,256,2,3,5,119,253
01.01.2016,Камчатский край,126,9,3,7,63,397
01.01.2016,Карачаево-Черкесская Республика,49,1,4,5,31,104
01.01.2016,Кемеровская область,568,2,6,10,272,208
01.01.2016,Кировская область,382,1,3,7,205,293
01.01.2016,Костромская область,182,2,6,5,102,278
01.01.2016,Краснодарский край,1 615,12,13,52,1 088,296
01.01.2016,Красноярский край,770,9,5,26,422,269
01.01.2016,Курганская область,310,1,2,4,83,356
01.01.2016,Курская область,292,1,1,5,124,261
01.01.2016,Ленинградская область,420,4,4,8,33,237
01.01.2016,Липецкая область,318,4,1,6,150,275
01.01.2016,Магаданская область,60,3,0,3,24,405
01.01.2016,г. Москва и Московская область,5 948,9,392,153,3 991,306
