date,region,Total number of banking system institutions,institutions of the Bank of Russia,credit institutions,branches of credit organizations,additional offices,Number of bank institutions per 1 million inhabitants
01.04.2008,Костромская область,229,8,4,17,98,329
01.04.2008,Краснодарский край,1 472,31,18,108,1 069,287
01.04.2008,Красноярский край,908,30,5,74,393,314
01.04.2008,Курганская область,320,6,5,23,79,333
01.04.2008,Курская область,300,7,2,20,142,258
01.04.2008,Ленинградская область,374,4,4,47,240,229
01.04.2008,Липецкая область,303,7,2,24,93,259
01.04.2008,Магаданская область,67,8,2,14,31,404
01.04.2008,г. Москва и Московская область,6 371,18,566,281,3 644,372
01.04.2008,Мурманская область,210,3,4,26,141,247
01.04.2008,Нижегородская область,1 180,18,18,110,373,351
01.04.2008,Новгородская область,171,3,2,17,122,262
01.04.2008,Новосибирская область,744,15,13,61,381,282
01.04.2008,Омская область,684,10,7,45,181,339
01.04.2008,Оренбургская область,832,18,9,53,240,393
01.04.2008,Орловская область,234,5,2,25,76,285
01.04.2008,Пензенская область,594,7,2,32,133,428
01.04.2008,Пермский край,811,12,8,72,309,298
01.04.2008,Приморский край,476,16,9,47,316,239
01.04.2008,Псковская область,183,5,3,13,114,259
01.04.2008,Республика Адыгея (Адыгея),97,3,5,6,66,220
01.04.2008,Республика Алтай,63,9,5,4,25,304
01.04.2008,Республика Башкортостан,1 267,10,11,61,599,313
01.04.2008,Республика Бурятия,279,15,1,22,202,291
01.04.2008,Республика Дагестан,246,23,33,71,114,92
01.04.2008,Республика Ингушетия,21,2,2,5,12,42
01.04.2008,Республика Калмыкия,50,1,2,4,39,175
01.04.2008,Республика Карелия,175,13,1,23,99,253
01.04.2008,Республика Коми,286,15,3,40,95,295
01.04.2008,Республика Марий Эл,162,8,1,22,49,230
01.04.2008,Республика Мордовия,306,2,4,15,116,364
01.04.2008,Республика Саха (Якутия),334,25,6,47,110,351
01.04.2008,Республика Северная Осетия-Алания,76,3,6,16,42,108
01.04.2008,Республика Татарстан (Татарстан),1 622,15,26,103,461,431
01.04.2008,Республика Тыва,50,4,2,4,30,160
01.04.2008,Республика Хакасия,176,5,3,8,72,328
01.04.2008,Ростовская область,1 245,14,22,104,816,293
01.04.2008,Рязанская область,286,8,4,25,108,246
01.04.2008,Самарская область,946,11,22,93,395,298
01.04.2008,г. Санкт-Петербург,1 421,3,41,164,899,311
01.04.2008,Саратовская область,973,12,13,74,217,377
01.04.2008,Сахалинская область,169,11,6,18,83,326
01.04.2008,Свердловская область,1 162,17,25,99,715,264
01.04.2008,Смоленская область,243,8,4,29,95,247
01.04.2008,Ставропольский край,583,12,9,64,417,216
01.04.2008,Тамбовская область,323,5,2,20,86,292
01.04.2008,Тверская область,353,13,7,40,110,256
01.04.2008,Томская область,291,12,4,36,125,281
01.04.2008,Тульская область,362,6,6,37,178,231
01.04.2008,Тюменская область,1 348,24,22,160,504,400
01.04.2008,Удмуртская Республика,393,8,8,31,164,256
01.04.2008,Ульяновская область,421,7,4,31,165,321
01.04.2008,Хабаровский край,343,4,5,33,241,244
01.04.2008,Челябинская область,797,14,11,118,424,227
01.04.2008,Чеченская Республика,1,0,0,1,0,1
01.04.2008,Читинская область,346,21,2,23,268,309
01.04.2008,Чувашская Республика - Чувашия,327,5,5,27,82,255
01.04.2008,Чукотский автономный округ,34,8,0,7,11,676
01.04.2008,Ярославская область,374,7,8,42,177,284
01.01.2008,Алтайский край,982,18,8,56,276,389
01.01.2008,Амурская область,247,4,5,16,160,282
01.01.2008,Архангельская область,290,17,3,34,126,227
01.01.2008,Астраханская область,260,4,5,29,102,262
01.01.2008,Белгородская область,448,7,6,34,123,296
01.01.2008,Брянская область,300,6,1,30,68,228
01.01.2008,Владимирская область,393,10,2,30,141,269
01.01.2008,Волгоградская область,672,9,5,66,217,256
01.01.2008,Вологодская область,377,8,9,29,161,307
01.01.2008,Воронежская область,641,8,4,54,179,279
01.01.2008,Еврейская авт. область,42,2,0,6,15,226
01.01.2008,Ивановская область,248,5,5,21,112,228
01.01.2008,Иркутская область,600,18,9,55,413,239
01.01.2008,Кабардино-Балкарская Республика,146,4,6,13,60,164
01.01.2008,Калининградская область,283,2,11,39,143,302
01.01.2008,Калужская область,257,5,5,29,114,255
01.01.2008,Камчатский край,121,13,7,16,66,349
01.01.2008,Карачаево-Черкесская Республика,50,2,5,4,37,117
01.01.2008,Кемеровская область,555,13,8,45,270,196
01.01.2008,Кировская область,409,9,3,29,136,287
01.01.2008,Костромская область,226,8,4,17,97,322
01.01.2008,Краснодарский край,1 440,31,18,107,1 038,282
01.01.2008,Красноярский край,885,30,5,73,370,306
01.01.2008,Курганская область,313,6,5,23,78,323
01.01.2008,Курская область,285,7,2,21,132,243
01.01.2008,Ленинградская область,358,4,4,46,236,219
01.01.2008,Липецкая область,298,7,2,24,90,254
01.01.2008,Магаданская область,69,9,2,14,30,409
01.01.2008,г. Москва и Московская область,6 300,18,568,283,3 562,369
01.01.2008,Мурманская область,203,3,4,26,141,237
01.01.2008,Нижегородская область,1 153,18,18,106,356,341
01.01.2008,Новгородская область,160,3,2,18,117,243
01.01.2008,Новосибирская область,725,15,14,61,366,275
01.01.2008,Омская область,680,10,7,46,178,336
01.01.2008,Оренбургская область,819,18,9,52,223,385
01.01.2008,Орловская область,234,5,2,24,73,283
01.01.2008,Пензенская область,592,7,2,31,132,424
01.01.2008,Пермский край,799,12,8,72,297,293
01.01.2008,Приморский край,473,18,9,45,313,236
01.01.2008,Псковская область,176,5,3,15,111,247
01.01.2008,Республика Адыгея (Адыгея),96,3,5,6,66,218
01.01.2008,Республика Алтай,60,9,5,4,23,292
01.01.2008,Республика Башкортостан,1 236,10,11,60,577,305
01.01.2008,Республика Бурятия,271,15,1,23,199,282
01.01.2008,Республика Дагестан,244,23,33,72,110,92
01.01.2008,Республика Ингушетия,21,2,2,5,12,43
01.01.2008,Республика Калмыкия,50,1,2,4,39,174
01.01.2008,Республика Карелия,172,13,1,23,97,248
01.01.2008,Республика Коми,286,15,3,40,96,293
01.01.2008,Республика Марий Эл,160,8,1,23,46,226
01.01.2008,Республика Мордовия,305,2,4,15,115,360
01.01.2008,Республика Саха (Якутия),330,25,6,47,109,347
01.01.2008,Республика Северная Осетия-Алания,75,3,6,16,41,107
01.01.2008,Республика Татарстан (Татарстан),1 588,15,26,102,432,422
01.01.2008,Республика Тыва,50,4,2,4,30,162
01.01.2008,Республика Хакасия,168,5,3,9,67,313
01.01.2008,Ростовская область,1 226,14,22,100,804,287
01.01.2008,Рязанская область,283,8,4,26,105,241
01.01.2008,Самарская область,909,11,22,93,351,286
01.01.2008,г. Санкт-Петербург,1 372,3,41,161,870,300
01.01.2008,Саратовская область,968,12,13,74,212,373
01.01.2008,Сахалинская область,166,12,6,18,78,318
01.01.2008,Свердловская область,1 131,17,25,99,690,257
01.01.2008,Смоленская область,231,8,4,29,83,233
01.01.2008,Ставропольский край,575,12,9,62,414,213
01.01.2008,Тамбовская область,321,5,2,20,84,287
01.01.2008,Тверская область,348,13,7,40,106,250
01.01.2008,Томская область,289,12,4,36,122,280
01.01.2008,Тульская область,350,6,6,34,174,221
01.01.2008,Тюменская область,1 325,24,22,158,484,396
01.01.2008,Удмуртская Республика,384,8,8,31,160,250
