Year,Reg,Group,Sex,PopD5a0,PopD5a1,PopD5a5,PopD5a10,PopD5a15,PopD5a20,PopD5a25,PopD5a30,PopD5a35,PopD5a40,PopD5a45,PopD5a50,PopD5a55,PopD5a60,PopD5a65,PopD5a70,PopD5a75,PopD5a80,PopD5a85
2012,1138,U,B,8670,31926,33621,31279,39281,54899,62905,57176,54297,47413,50947,64112,59951,49116,21640,31154,19060,14316,8856
2012,1138,U,M,4423,16279,17236,15922,19731,26281,30904,27697,25859,22168,22971,28141,25197,19715,8189,9944,5622,3443,1689
2012,1138,U,F,4247,15647,16386,15357,19550,28619,32001,29479,28438,25245,27976,35972,34754,29401,13451,21210,13438,10873,7168
2012,1138,R,B,4463,15144,16888,17791,17482,20776,23553,20784,23129,25424,29750,35200,29250,23238,12753,24822,17756,14217,6567
2012,1138,R,M,2299,7717,8660,9211,8995,11047,12437,10566,11428,12750,15301,18241,14239,10205,4614,7934,5366,3658,1024
2012,1138,R,F,2165,7427,8229,8580,8487,9729,11117,10219,11701,12674,14449,16960,15011,13034,8139,16889,12390,10560,5543
2012,1142,T,B,13026,49684,56100,50552,56888,78828,95151,84424,82405,78279,83224,100850,89499,74924,36236,57797,36454,27937,15010
2012,1142,T,M,6680,25296,28814,25993,29087,38378,47787,42410,40301,38149,39504,46958,39628,31178,13437,18638,10726,6897,2560
2012,1142,T,F,6346,24388,27286,24560,27801,40450,47364,42014,42104,40131,43721,53892,49871,43746,22799,39159,25728,21040,12450
2012,1142,U,B,8154,31419,35446,31039,35707,52684,65084,58360,55586,50422,51686,62810,57333,48551,23074,34142,20277,14431,8050
2012,1142,U,M,4161,16044,18287,15838,18081,25471,32443,29086,27007,24029,23733,27931,24237,19529,8386,10961,5940,3720,1599
2012,1142,U,F,3994,15375,17160,15202,17626,27214,32641,29274,28579,26393,27954,34879,33096,29022,14688,23182,14337,10711,6451
2012,1142,R,B,4872,18265,20654,19513,21181,26144,30068,26064,26819,27858,31538,38040,32166,26373,13163,23655,16177,13506,6961
2012,1142,R,M,2520,9252,10527,10155,11006,12908,15344,13324,13294,14120,15771,19027,15392,11649,5052,7677,4786,3177,961
2012,1142,R,F,2352,9013,10127,9358,10175,13237,14724,12740,13525,13738,15767,19013,16775,14724,8111,15978,11392,10329,6000
2012,1146,T,B,90716,303811,334910,304821,328755,551514,648313,622411,569044,506956,507776,583008,527949,439884,229403,323493,206814,151020,84025
2012,1146,T,M,48219,157012,172931,158137,170164,297243,324121,308390,281626,249687,239242,265348,228975,179885,88271,105752,60498,37213,16900
2012,1146,T,F,42498,146800,161979,146685,158591,254272,324192,314021,287418,257270,268535,317661,298974,259999,141132,217742,146316,113808,67125
2012,1146,U,B,75969,245079,268572,242920,263839,437310,517846,500747,460748,408890,404587,459576,417615,351515,185650,256712,164694,119724,66702
2012,1146,U,M,40418,126758,138551,125568,135978,232517,256836,246300,226215,199792,188712,206592,178283,141477,70762,83762,48329,29747,14011
