date,region,number_of_new_remote_accounts,"юридическим лицам, не являющимся кредитными организациями, всего","с доступом через сеть Интернет
",number_of_new_remote_accounts_individuals,number_of_new_remote_accounts_individuals_with_internet,number_of_new_remote_accounts_individuals_with_sms
01.07.2010,Кемеровская область,437,"23,5","11,9","413,5","39,5",108
01.07.2010,Кировская область,"510,5","10,6","7,8","499,9","1,9","4,4"
01.07.2010,Костромская область,"165,5","6,9","3,3","158,5","0,2","21,4"
01.07.2010,Краснодарский край,"1 730,7","92,4","22,1","1 638,3","176,5","73,2"
01.07.2010,Красноярский край,"994,6","21,6","14,8",973,"125,6","52,5"
01.07.2010,Курганская область,"246,4","4,7","2,9","241,7","2,9","98,9"
01.07.2010,Курская область,"502,5","7,4","3,8","495,1","3,3","136,6"
01.07.2010,Ленинградская область,"26,8","12,3","8,9","14,5","2,5","0,1"
01.07.2010,Липецкая область,"630,3","7,6","1,3","622,7","8,7","29,4"
01.07.2010,Магаданская область,"36,5",1,"0,3","35,5","0,1","5,1"
01.07.2010,г. Москва и Московская область,"13 249,3","473,1","361,2","12 776,2","3 412,9","788,4"
01.07.2010,Мурманская область,"56,7",8,"5,8","48,7","3,9","1,1"
01.07.2010,Нижегородская область,"348,8","41,3","30,8","307,5","39,2","42,4"
01.07.2010,Новгородская область,"71,5","5,9","2,9","65,5","1,9",0
01.07.2010,Новосибирская область,"1 096,6","69,5","38,3","1 027,1","69,8","56,7"
01.07.2010,Омская область,"480,7","20,6","12,8","460,1","20,3",191
01.07.2010,Оренбургская область,"672,3","8,3","5,5",664,"6,9","145,7"
01.07.2010,Орловская область,"117,2","3,5","2,4","113,7","1,3","0,9"
01.07.2010,Пензенская область,157,"6,7","3,7","150,3","2,1","0,4"
01.07.2010,Пермский край,"1 128,2","46,7","31,3","1 081,5","128,8","4,7"
01.07.2010,Приморский край,"523,8","21,3","15,6","502,5","4,6","31,2"
01.07.2010,Псковская область,"65,9","4,2","3,2","61,6","3,6",0
01.07.2010,Республика Адыгея (Адыгея),"48,7","0,9","0,3","47,8",0,"1,5"
01.07.2010,Республика Алтай,25,"0,6","0,4","24,4","0,8","20,1"
01.07.2010,Республика Башкортостан,"466,5","36,5","25,9","430,1","219,2","61,8"
01.07.2010,Республика Бурятия,254,6,"4,7","247,9","13,2","106,5"
01.07.2010,Республика Дагестан,171,"0,6","0,4","170,4","9,7","66,1"
01.07.2010,Республика Ингушетия,"24,9","0,1","0,1","24,8",0,"11,4"
01.07.2010,Республика Калмыкия,"19,7","0,2","0,1","19,5","0,1",8
01.07.2010,Республика Карелия,"55,3","6,9","3,4","48,4","6,2",0
01.07.2010,Республика Коми,"338,7","10,2","5,2","328,4","0,5","17,2"
01.07.2010,Республика Марий Эл,"12,7","3,5","2,4","9,2","0,4",0
01.07.2010,Республика Мордовия,"155,1","3,4","0,9","151,8","0,5","30,8"
01.07.2010,Республика Саха (Якутия),"338,2","2,8","1,3","335,3","1,2","27,6"
01.07.2010,Республика Северная Осетия-Алания,"14,2",1,"0,8","13,3","0,4","0,4"
01.07.2010,Республика Татарстан (Татарстан),"1 349,3","39,2","25,4","1 310,1","30,4",13
01.07.2010,Республика Тыва,"28,8","0,5","0,3","28,3","1,1","8,7"
01.07.2010,Республика Хакасия,"31,4","2,7","1,4","28,7","0,5","2,7"
01.07.2010,Ростовская область,"1 099,0","35,4",17,"1 063,6","71,5","79,7"
01.07.2010,Рязанская область,289,"11,1",5,278,"2,6",27
01.07.2010,Самарская область,"1 094,9","38,8","18,1","1 056,2","368,4","27,4"
01.07.2010,г. Санкт-Петербург,"2 789,9","183,3","147,1","2 606,6","430,1","86,3"
01.07.2010,Саратовская область,"581,2","13,5","5,3","567,7","49,7","14,9"
01.07.2010,Сахалинская область,"125,5","4,3","3,6","121,2","8,1","72,5"
01.07.2010,Свердловская область,"1 098,4","113,6",88,"984,7","175,3","44,1"
01.07.2010,Смоленская область,"209,8","5,9","3,4","203,9","0,9","15,3"
01.07.2010,Ставропольский край,"668,2","16,1",7,"652,1","9,1","21,2"
01.07.2010,Тамбовская область,"159,8","3,5","1,3","156,3","10,9","132,6"
01.07.2010,Тверская область,"76,6","8,8","5,8","67,8","20,8",0
01.07.2010,Томская область,"345,2","15,1","6,8","330,1","12,8","51,6"
01.07.2010,Тульская область,"383,5","9,5","6,6",374,"2,3","21,4"
01.07.2010,Тюменская область,"1 563,5","36,9","19,7","1 526,7","30,5",244
01.07.2010,Удмуртская Республика,"346,4",19,"12,3","327,4","137,7","235,3"
01.07.2010,Ульяновская область,"245,4","7,6","3,9","237,8","9,1","54,4"
01.07.2010,Хабаровский край,"773,5","21,5","7,1","751,9",15,"59,5"
01.07.2010,Челябинская область,865,"50,2","18,7","814,8","74,5",628
01.07.2010,Чеченская Республика,"33,1","0,4","0,1","32,8",0,0
01.07.2010,Чувашская Республика - Чувашия,"308,1","7,1","2,3","300,9","0,1",0
01.07.2010,Чукотский автономный округ,"4,1","0,1",0,4,0,"3,6"
01.07.2010,Ярославская область,"296,5","14,6",10,"281,9","11,1","48,4"
01.04.2010,Алтайский край,"485,6","18,7",11,"466,8","8,9","213,8"
01.04.2010,Амурская область,"239,1","3,8","2,3","235,3","2,3","29,1"
01.04.2010,Архангельская область,"218,4","9,7","5,1","208,7","7,3","124,5"
01.04.2010,Астраханская область,"525,5","4,4","1,8","521,1","1,6","101,4"
01.04.2010,Белгородская область,"624,3","10,7",5,"613,5","2,7","103,2"
01.04.2010,Брянская область,"195,2","7,1","4,3","188,1",12,"141,7"
01.04.2010,Владимирская область,"198,2","12,5","4,9","185,7","8,6","68,6"
01.04.2010,Волгоградская область,"436,7",16,"8,7","420,7","17,5","69,5"
01.04.2010,Вологодская область,"325,9","13,2","3,8","312,7","6,1","18,3"
01.04.2010,Воронежская область,"834,7","22,6","13,5",812,"10,1","63,4"
01.04.2010,Еврейская автономная область,"34,5","0,6","0,3",34,"8,9","11,3"
01.04.2010,Забайкальский край,"204,8","3,2","1,8","201,6","1,3","114,8"
01.04.2010,Ивановская область,"173,5","7,6","4,6","165,9","7,7","112,4"
01.04.2010,Иркутская область,"545,5","17,3","8,9","528,2","217,1","18,7"
01.04.2010,Кабардино-Балкарская Республика,"142,7","0,9","0,4","141,8","70,9",0
01.04.2010,Калининградская область,"77,1","16,1","11,8",61,"1,6",0
01.04.2010,Калужская область,"40,9","5,9","3,2",35,"1,4",11
01.04.2010,Камчатский край,"56,9","2,6","2,4","54,4","0,4","9,3"
01.04.2010,Карачаево-Черкесская Республика,"34,2","0,4","0,1","33,7","0,2","22,9"
01.04.2010,Кемеровская область,"386,7","22,4","10,9","364,2","36,1","98,2"
01.04.2010,Кировская область,"365,4","9,5","6,9",356,"1,4","3,8"
01.04.2010,Костромская область,138,"6,6","3,1","131,4","0,1","9,5"
01.04.2010,Краснодарский край,"1 344,7","63,7","13,5","1 281,0","143,7","63,5"
01.04.2010,Красноярский край,"694,6","19,9","13,8","674,7","122,8","47,6"
01.04.2010,Курганская область,228,"4,5","2,8","223,6","3,1","89,6"
01.04.2010,Курская область,"475,9","6,9","3,3","468,9","2,9","128,9"
01.04.2010,Ленинградская область,"30,4","9,7","6,4","20,7","2,2","0,1"
01.04.2010,Липецкая область,"586,8","6,8","1,1","580,1","7,4","28,2"
01.04.2010,Магаданская область,"30,2","0,9","0,3","29,2","0,1","4,6"
01.04.2010,г. Москва и Московская область,"11 269,0","445,8","338,5","10 823,2","2 842,5","635,6"
01.04.2010,Мурманская область,"49,8","7,8","5,4","42,1","3,1","0,9"
01.04.2010,Нижегородская область,"323,7","38,5","26,5","285,2","34,5","35,4"
01.04.2010,Новгородская область,"61,7","5,4","2,5","56,3","1,5",0
01.04.2010,Новосибирская область,"946,4","64,7","35,5","881,7","270,4","50,3"
01.04.2010,Омская область,"433,9","19,4",12,"414,5","16,7",161
01.04.2010,Оренбургская область,"665,8","7,1","4,9","658,7","5,7","119,1"
01.04.2010,Орловская область,"79,5","3,4","2,3",76,"1,1","0,8"
01.04.2010,Пензенская область,"132,9","6,3","3,2","126,6","1,7","0,3"
01.04.2010,Пермский край,"1 242,4",39,"27,3","1 203,4","78,6","3,9"
01.04.2010,Приморский край,"495,3",20,15,"475,3","4,2","25,9"
01.04.2010,Псковская область,"64,5",4,"2,9","60,5","3,3",0
01.04.2010,Республика Адыгея (Адыгея),"40,9","0,8","0,3","40,1",0,"1,5"
01.04.2010,Республика Алтай,"17,5","0,6","0,4","16,9","0,3","13,9"
01.04.2010,Республика Башкортостан,"403,4","33,8","23,1","369,6","189,5","54,1"
01.04.2010,Республика Бурятия,221,"5,3",4,"215,7","6,7","85,5"
01.04.2010,Республика Дагестан,"145,8","0,6","0,4","145,3","1,9","59,8"
01.04.2010,Республика Ингушетия,"15,9","0,1",0,"15,9",0,"8,9"
01.04.2010,Республика Калмыкия,"30,7","0,4","0,1","30,3","0,2","6,2"
01.04.2010,Республика Карелия,"48,5","6,1","2,9","42,4","5,4",0
01.04.2010,Республика Коми,"310,1","9,5","4,1","300,7","0,3","17,6"
01.04.2010,Республика Марий Эл,"12,1","3,2","2,2","8,9","0,3",0
