year,region,men,women
2015,Белгородская область,15.7,25.9
2015,   Архангельская область без авт. округа,15.2,25.44
2015,Вологодская область,14.57,25.15
2015,Калининградская область,15.81,24.97
2015,Ленинградская область,16.1,25.66
2015,Мурманская область,14.57,24.69
2015,Владимирская область,14.6,24.94
2015,Брянская область,14.85,25.3
2015,Ивановская область,14.58,24.93
2015,Воронежская область,15.78,25.99
2015,Курская область,14.68,24.97
2015,   Ненецкий автономный округ,15.25,25.57
2015,Архангельская область,15.2,25.44
2015,Республика Коми,14.26,24.64
2015,Республика Карелия,14.37,24.69
2015,г.Москва,20.2,27.98
2015,Калужская область,15.82,25.43
2015,Костромская область,14.52,24.4
2015,Московская область,16.72,25.78
2015,Липецкая область,14.91,25.38
2015,Орловская область,14.74,25.24
2015,Приморский край,14.74,24.45
2015,Забайкальский край,14.01,23.24
2015,Республика Саха (Якутия),15.83,24.8
2015,Хабаровский край,14.43,24.26
2015,Амурская область,13.85,23.56
2015,Камчатский край,14.19,23.47
2016,Магаданская область,14.5,23.29
2016,Амурская область,13.94,23.78
2016,Алтайский край,14.94,25.14
2016,Республика Алтай,15.19,24.64
2016,Республика Тыва,13.13,21.44
2016,Сахалинская область,14.76,24.07
2016,Еврейская автономная область,12.85,23.2
2016,Красноярский край,15.25,25.23
2016,Иркутская область,14.57,24.76
2016,Республика Хакасия,15.17,24.52
2016,Чукотский автономный округ,13.41,21.24
2016,Хабаровский край,14.93,24.57
2016,Приморский край,14.83,24.37
2016,Камчатский край,14.86,23.81
2016,Забайкальский край,14.25,23.68
2016,Республика Саха (Якутия),16.03,25.07
2016,Республика Бурятия,15.12,25
2016,Томская область,15.96,25.85
2016,Oмская область,15.21,25.37
2016,Новосибирская область,15.62,25.87
2016,Кемеровская область – Кузбасс,15.02,24.77
2016,Республика Ингушетия,21.22,28.81
2016,Республика Дагестан,19.97,27.33
2016,Ростовская область,16.31,25.33
2016,Волгоградская область,16.36,25.95
2016,Астраханская область,15.87,25.39
2016,Краснодарский край,16.79,25.74
2016,Челябинская область,15.31,25.72
2016,   Тюменская область без авт. округов,15.67,25.86
2016,   Ямало-Ненецкий автономный округ,15.58,25.3
2016,   Ханты-Мансийский автономный округ – Югра,16.57,25.86
2016,Тюменская область,16.05,25.87
2016,Свердловская область,15.25,25.43
2016,Курганская область,14.83,25.38
2016,Ульяновская область,15.42,25.7
2016,Саратовская область,15.97,25.56
2016,Самарская область,16,25.78
2016,Пензенская область,15.41,25.96
2016,Оренбургская область,15.55,25.21
2016,Нижегородская область,14.92,25.32
2016,Кировская область,15.01,25.65
2016,Пермский край,14.91,25.07
2016,Чувашская Республика,15.56,25.96
2016,Ярославская область,14.96,25.31
2016,г.Москва,20.22,28.05
2016,Республика Карелия,14.5,24.86
2016,Республика Коми,14.4,24.68
2016,Архангельская область,15.39,25.43
2016,   Ненецкий автономный округ,14.62,26.23
2016,Удмуртская Республика,15.21,25.54
2016,Республика Татарстан,16.71,26.8
2016,Карачаево-Черкесская Республика,17.9,26.46
2016,Кабардино-Балкарская Республика,17.99,26.23
2016,Республика Мордовия,15.27,26.04
2016,Республика Марий Эл,15.28,25.6
2016,Республика Башкортостан,15.98,25.79
2016,Ставропольский край,16.98,25.98
2016,Чеченская Республика,16.62,24.17
2016,Республика Северная Осетия – Алания,17.67,27.22
2016,Республика Калмыкия,16.21,26.12
2016,Республика Адыгея,16.72,25.47
2016,г.Санкт-Петербург,18.01,26.98
2016,Псковская область,13.94,24.37
2016,Новгородская область,14.19,24.64
2016,Мурманская область,14.27,24.53
2016,Ленинградская область,16.31,25.74
2016,Калининградская область,16.36,25.3
2016,Вологодская область,14.31,25.13
2016,   Архангельская область без авт. округа,15.4,25.41
2016,Калужская область,15.57,25.46
2016,Ивановская область,14.43,24.99
2016,Воронежская область,15.96,25.99
2016,Владимирская область,14.77,24.96
2016,Брянская область,14.8,25.57
2016,Белгородская область,15.9,25.82
2016,Курская область,14.8,25.08
2016,Костромская область,14.62,24.61
2016,Московская область,16.79,25.78
2016,Липецкая область,15.17,25.31
2016,Смоленская область,14.46,24.96
2016,Тамбовская область,15.51,25.77
2016,Тверская область,14.5,24.63
2016,Тульская область,15.22,25.3
2016,Орловская область,14.82,24.95
2016,Рязанская область,15.35,25.79
2017,Иркутская область,14.95,25.16
2017,Кемеровская область – Кузбасс,15.15,24.97
2017,Томская область,16.38,25.86
2017,Республика Бурятия,15.33,25.33
2017,Новосибирская область,16.04,26.09
2017,Oмская область,15.63,25.63
2017,Чукотский автономный округ,14.44,23.58
2017,Еврейская автономная область,13.82,23.79
2017,Сахалинская область,15.36,24.81
2017,Магаданская область,14.03,23.84
2017,Амурская область,14.26,23.7
2017,Хабаровский край,14.9,24.71
2017,Приморский край,15.12,24.63
2017,Камчатский край,14.86,24
2017,Забайкальский край,14.49,23.9
2017,Республика Саха (Якутия),16.44,25.53
2017,Свердловская область,15.65,25.94
2017,Курганская область,15.43,25.56
2017,Ульяновская область,15.84,26.01
2017,Саратовская область,16.54,25.89
2017,Самарская область,16.25,25.9
2017,Пензенская область,15.83,26.28
2017,Республика Ингушетия,21.37,28.52
2017,Кабардино-Балкарская Республика,18.14,26.56
2017,Карачаево-Черкесская Республика,17.98,26.65
2017,Республика Северная Осетия – Алания,18.07,26.97
2017,Чеченская Республика,16.76,24.65
2017,Ставропольский край,17.34,26.43
2017,Красноярский край,15.56,25.3
2017,Алтайский край,15.13,25.21
2017,   Ханты-Мансийский автономный округ – Югра,16.81,26.3
2017,Тюменская область,16.63,26.37
2017,Республика Хакасия,15.1,24.75
2017,Республика Тыва,14.3,22.56
2017,Республика Алтай,15.8,24.96
2017,Челябинская область,15.91,25.88
2017,   Тюменская область без авт. округов,16.41,26.39
2017,   Ямало-Ненецкий автономный округ,17.11,25.81
2017,Оренбургская область,15.65,25.43
2017,Нижегородская область,15.35,25.69
2017,Кировская область,15.15,25.99
2017,Пермский край,15.14,25.43
2017,Чувашская Республика,15.89,26.41
2017,Удмуртская Республика,15.69,26.14
2017,Республика Татарстан,17.02,27.01
2017,Республика Мордовия,15.75,26.44
2017,Республика Марий Эл,15.71,26
2017,Республика Башкортостан,16.35,26.18
2017,Мурманская область,14.4,24.94
2017,Ленинградская область,16.88,26.23
2017,Калининградская область,16.38,25.6
2017,Вологодская область,14.6,25.39
2017,   Архангельская область без авт. округа,15.55,25.87
2017,   Ненецкий автономный округ,17.95,25.84
2017,Калужская область,15.86,25.82
2017,Костромская область,14.75,25.13
2017,Курская область,14.94,25.41
2017,Липецкая область,15.37,25.81
2017,Московская область,17.4,26.15
2017,Орловская область,14.97,25.43
2017,Республика Дагестан,20.32,27.47
2017,Ростовская область,16.73,25.68
2017,Псковская область,14.1,24.68
2017,Новгородская область,14.36,24.71
2017,Волгоградская область,16.81,26.19
2017,Астраханская область,16.39,25.53
2017,Краснодарский край,17.25,26.04
2017,Республика Калмыкия,16.07,25.73
2017,Республика Адыгея,16.64,26.02
2017,г.Санкт-Петербург,18.42,27.21
2017,Архангельская область,15.6,25.87
2017,Белгородская область,16.12,26.16
2017,Брянская область,14.81,25.79
2017,Владимирская область,15.35,25.54
2017,Воронежская область,16.37,26.13
2017,Ивановская область,14.72,25.08
2017,Республика Коми,14.68,25.22
2017,Республика Карелия,14.72,24.87
2017,Смоленская область,14.85,25.11
2017,Тамбовская область,15.97,26.18
2017,Тверская область,14.82,24.92
2017,Тульская область,15.63,25.54
2017,Ярославская область,15.1,25.7
2017,г.Москва,20.9,28.6
2017,Рязанская область,15.52,26.26
2018,Калининградская область,16.59,25.99
2018,Вологодская область,14.8,25.54
2018,   Архангельская область без авт. округа,15.62,25.92
2018,   Ненецкий автономный округ,15.32,25.92
2018,Республика Дагестан,20.93,28.24
2018,Ростовская область,16.63,25.68
2018,Волгоградская область,16.86,26.26
2018,Астраханская область,15.97,25.42
2018,Краснодарский край,17.78,26.43
2018,Республика Калмыкия,16.22,26.41
2018,Республика Адыгея,17.43,25.91
2018,г.Санкт-Петербург,18.55,27.6
2018,Псковская область,14.24,24.84
2018,Новгородская область,14.39,25.03
2018,Мурманская область,14.96,24.74
2018,Курганская область,15.42,25.51
2018,Ульяновская область,16.02,26.01
2018,Саратовская область,16.55,25.9
2018,Самарская область,16.27,26.13
2018,Пензенская область,15.86,26.04
2018,Оренбургская область,15.77,25.66
2018,Нижегородская область,15.22,25.62
2018,Кировская область,15.26,25.79
2018,Пермский край,15.12,25.52
2018,Чувашская Республика,16.22,26.64
2018,Удмуртская Республика,15.62,26.25
2018,Республика Татарстан,16.95,27.17
2018,Республика Мордовия,16.13,26.49
2018,Республика Марий Эл,15.77,26.11
2018,Республика Башкортостан,16.52,26.27
2018,Ставропольский край,17.29,26.4
2018,Томская область,16.57,26.19
2018,Oмская область,15.69,25.93
2018,Новосибирская область,15.93,26.06
2018,Кемеровская область – Кузбасс,15.25,24.94
2018,Иркутская область,14.95,25.22
2018,Красноярский край,15.44,25.55
2018,Алтайский край,15.14,25.25
2018,Республика Хакасия,15.57,25.06
2018,Республика Тыва,13.52,22.02
2018,Республика Алтай,14.83,24.92
2018,Челябинская область,15.86,25.92
2018,   Тюменская область без авт. округов,16.21,26.65
2018,   Ямало-Ненецкий автономный округ,17.05,26.21
2018,   Ханты-Мансийский автономный округ – Югра,16.78,26.27
2018,Тюменская область,16.54,26.56
2018,Свердловская область,15.7,25.87
2018,Чукотский автономный округ,13.23,20.88
2018,Еврейская автономная область,14.31,23.79
2018,Сахалинская область,15.07,24.5
2018,Магаданская область,14.46,23.95
2018,Амурская область,14.34,23.96
2018,Хабаровский край,15.3,25.12
2018,Приморский край,15.15,24.79
2018,Камчатский край,14.49,24.55
2018,Забайкальский край,14.25,23.75
2018,Республика Саха (Якутия),16.66,26.08
2018,Республика Бурятия,15.52,25.35
2018,Московская область,17.56,26.25
2018,Липецкая область,15.89,25.99
2018,Курская область,15.23,25.34
2018,Костромская область,15.21,25.13
2018,Калужская область,16.18,25.72
2018,Ивановская область,14.62,25.16
2018,Воронежская область,16.35,26.22
2018,Владимирская область,15.17,25.54
2018,Брянская область,14.92,25.93
2018,Белгородская область,16.22,26.2
2018,Чеченская Республика,17.36,24.44
2018,Республика Северная Осетия – Алания,18.25,27.51
2018,Карачаево-Черкесская Республика,19.07,27.08
2018,Кабардино-Балкарская Республика,18.29,26.94
2018,Республика Ингушетия,21.19,28.83
2018,г.Москва,20.93,28.75
2018,Ярославская область,15.39,25.84
2018,Тверская область,14.85,25.04
2018,Республика Коми,14.78,25.32
2018,Республика Карелия,14.79,25.06
2018,Архангельская область,15.62,25.92
2018,Ленинградская область,17.26,26.54
2018,Тамбовская область,15.81,26.08
2018,Смоленская область,14.86,25.41
2018,Рязанская область,15.9,26.08
2018,Орловская область,15.09,25.49
2018,Тульская область,15.91,25.78
2019,Чукотский автономный округ,16.5,23.95
2019,Сахалинская область,15.48,24.77
2019,Еврейская автономная область,14.33,23.55
2019,Амурская область,14.21,23.59
2019,Хабаровский край,14.95,24.92
2019,Приморский край,15.19,24.86
2019,Камчатский край,15.36,24.55
2019,Забайкальский край,14.1,24.06
2019,Республика Саха (Якутия),17.07,26.25
2019,Республика Бурятия,15.31,25.61
2019,Магаданская область,15.04,24.01
2019,Ульяновская область,16.42,26.33
2019,Саратовская область,16.88,26.21
2019,Самарская область,16.76,26.46
2019,Пензенская область,16.31,26.59
2019,Оренбургская область,15.91,25.93
2019,Нижегородская область,15.54,26.01
2019,Кировская область,15.5,26.28
2019,Пермский край,15.36,25.88
2019,Чувашская Республика,16.26,27.05
2019,Удмуртская Республика,15.81,26.36
2019,Республика Татарстан,17.56,27.64
2019,Республика Мордовия,16.34,26.79
2019,Республика Марий Эл,16.41,26.8
2019,Республика Башкортостан,16.74,26.56
2019,Ставропольский край,17.63,26.44
2019,Томская область,16.67,26.36
2019,Oмская область,16.1,26.08
2019,Новосибирская область,16.42,26.09
2019,Кемеровская область – Кузбасс,15.65,25.13
2019,Иркутская область,14.82,25.29
2019,Красноярский край,15.84,25.52
2019,Алтайский край,15.26,25.41
2019,Республика Хакасия,15.23,25.38
2019,Республика Тыва,14.21,22.86
2019,Республика Алтай,15.08,24.91
2019,Челябинская область,16.12,26.24
2019,   Тюменская область без авт. округов,16.76,26.96
2019,   Ямало-Ненецкий автономный округ,16.58,26.25
2019,   Ханты-Мансийский автономный округ – Югра,17.56,27.01
2019,Тюменская область,17.12,27.01
2019,Свердловская область,15.91,26.07
2019,Курганская область,15.47,25.95
2019,Ленинградская область,17.67,26.89
2019,Мурманская область,14.56,25.09
2019,Новгородская область,14.79,25.17
2019,Псковская область,14.77,24.86
2019,г.Санкт-Петербург,19.03,27.81
2019,Республика Адыгея,17.16,26.09
2019,Республика Калмыкия,16.56,27.4
2019,Краснодарский край,17.44,26.51
2019,Астраханская область,16.37,25.59
2019,Волгоградская область,17.16,26.6
2019,Ростовская область,16.96,25.85
2019,Республика Дагестан,21.45,28.3
2019,Республика Ингушетия,21.09,29.14
2019,Кабардино-Балкарская Республика,18.6,26.73
2019,Карачаево-Черкесская Республика,18.78,27.11
2019,Республика Северная Осетия – Алания,17.95,27.43
2019,Чеченская Республика,17.73,24.54
2019,Орловская область,15.66,25.69
2019,Московская область,18.09,26.45
2019,Смоленская область,15.24,25.58
2019,Тамбовская область,16.43,26.59
2019,Тверская область,15.21,25.41
2019,Рязанская область,15.95,26.47
2019,Калининградская область,17.19,26.07
2019,Ярославская область,15.64,26.09
2019,Вологодская область,14.89,25.95
2019,   Архангельская область без авт. округа,15.76,26.06
2019,   Ненецкий автономный округ,16.67,27.06
2019,Архангельская область,15.79,26.08
2019,Республика Коми,15.32,25.2
2019,Республика Карелия,14.87,25.42
2019,г.Москва,21.49,29.1
2019,Белгородская область,16.57,26.36
2019,Курская область,15.69,25.7
2019,Костромская область,15.12,25.78
2019,Калужская область,16.39,26.26
2019,Ивановская область,14.91,25.32
2019,Воронежская область,16.9,26.72
2019,Владимирская область,15.5,25.98
2019,Брянская область,15.59,26.17
2019,Липецкая область,15.92,26.23
2019,Тульская область,16.38,26.13
2020,Свердловская область,14.59,24.52
2020,Томская область,15.02,24.97
2020,Oмская область,14.2,24.19
2020,Новосибирская область,14.59,24.66
2020,Кемеровская область – Кузбасс,14.25,23.96
2020,Иркутская область,13.96,24.15
2020,Красноярский край,14.53,24.29
2020,Алтайский край,13.65,23.84
2020,Республика Хакасия,14.24,24.28
2020,Республика Тыва,12.85,21.09
2020,Республика Алтай,13.97,23.71
2020,Челябинская область,14.24,24.47
2020,   Тюменская область без авт. округов,15.65,25.89
2020,   Ямало-Ненецкий автономный округ,15.63,24.35
2020,   Ханты-Мансийский автономный округ – Югра,15.75,24.93
2020,Тюменская область,15.72,25.51
2020,Ставропольский край,16.34,25.32
2020,Курганская область,14.59,24.54
2020,Ульяновская область,14.59,24.56
2020,Саратовская область,15.25,24.38
2020,Самарская область,14.69,24.25
2020,Пензенская область,14.61,24.46
2020,Оренбургская область,14.16,23.66
2020,Нижегородская область,14.19,24.45
2020,Кировская область,14.26,24.88
2020,Пермский край,14.02,24.31
2020,Чувашская Республика,14.45,24.97
2020,Удмуртская Республика,14.37,24.9
2020,Республика Татарстан,15.52,25.58
2020,Республика Мордовия,14.63,24.63
2020,Республика Марий Эл,14.83,25.33
2020,Республика Башкортостан,15.05,24.59
2020,Новгородская область,13.62,24.48
2020,Псковская область,13.56,23.82
2020,г.Санкт-Петербург,16.89,26.22
2020,Республика Адыгея,16.47,25.36
2020,Республика Калмыкия,15.18,25.27
2020,Краснодарский край,15.98,25.15
2020,Астраханская область,14.81,23.78
2020,Волгоградская область,15.48,24.81
2020,Ростовская область,15.48,24.64
2020,Республика Дагестан,18.45,26.25
2020,Республика Ингушетия,19,26.8
2020,Кабардино-Балкарская Республика,16.95,25.35
2020,Карачаево-Черкесская Республика,17.32,25.17
2020,Республика Северная Осетия – Алания,16.4,25.91
2020,Чеченская Республика,14.13,21.71
2020,Мурманская область,13.17,23.77
2020,Орловская область,14.12,24.24
